BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2014;620000224;620100651;1;1;0;0;0;;0;0;113;;;1;3;;;2525;73;;;;;2598;982;256;158;8;460;2073;196;441;1330;743;;;;;;;;;;;;;;;
SMURSAMU;2014;620000257;620100685;1;1;0;0;0;;0;0;286;532;359;2;3;;;4038;131;47;0;0;;4169;1425;341;23;587;1425;1967;489;1040;1223;744;;;;;;;;;;;;;;;
SMURSAMU;2014;620000323;620101337;1;1;0;0;0;;0;0;168;;;;;;;1558;211;;;;;1769;;116;114;;1299;1456;201;294;1303;153;;;;;;;;;;;;;;;
SMURSAMU;2014;620000349;620101360;1;1;0;0;0;620101360;0;0;168;168;168;;2;;;1498;25;;;;;1523;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;620000653;620103440;1;1;0;0;0;620000653;0;0;168;168;0;;2;;;1566;0;0;6;0;;1572;666;158;116;265;320;1221;0;0;1027;194;;;;;;;;;;;;;;;
SMURSAMU;2014;620003202;620103432;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;1408;73;0;0;0;0;1481;640;121;1;108;411;722;48;164;515;207;;;;;;;;;;;;;;;
SMURSAMU;2014;630000404;630780989;1;1;0;0;0;630780989;0;1;411;336;564;4;3;0;0;5007;2701;77;154;139;0;8001;774;226;7;389;151;5567;751;1115;4573;994;300000;;;163423;118648;44775;405;168;237;540;1;0;3;944;1
SMURSAMU;2014;630000412;630780997;1;1;0;0;0;;0;0;168;40;168;0;1;0;0;377;14;0;0;0;0;391;155;48;0;39;64;241;15;63;117;124;;;;;;;;;;;;;;;
SMURSAMU;2014;630000420;630781003;1;1;0;0;0;;0;0;336;331;168;0;1;0;0;766;47;;;0;0;813;408;65;;108;235;406;;;381;25;;;;;;;;;;;;;;;
SMURSAMU;2014;630000438;630781011;1;1;0;0;0;630781011;0;0;168;168;168;0;1;0;0;1293;0;;7;;;1300;436;98;6;233;67;864;;;420;444;;;;;;;;;;;;;;;
SMURSAMU;2014;630000446;630781029;1;1;0;0;0;630781029;0;0;168;168;168;0;1;0;0;834;20;;0;0;0;854;323;88;2;139;94;565;;;349;216;;;;;;;;;;;;;;;
SMURSAMU;2014;640000162;640780417;1;1;0;0;0;;0;1;252;252;168;3;3;1;0;2403;705;28;219;346;3;3676;998;319;25;404;250;2815;360;600;2072;743;176548;176548;;77588;67957;23360;236;168;68;392;1;0;0;240;0
SMURSAMU;2014;640000402;640780813;1;1;0;0;0;640780813;0;0;168;168;168;0;1;0;0;440;9;0;0;0;0;449;107;56;7;25;109;257;24;107;126;131;;;;;;;;;;;;;;;
SMURSAMU;2014;640000410;640780821;1;1;0;0;0;;0;0;98;162;168;2;0;0;0;471;3;0;59;0;0;533;139;41;0;18;79;384;47;126;277;107;;;;;;;;;;;;;;;
SMURSAMU;2014;640000600;640781290;1;1;0;0;0;;0;1;336;336;588;2;3;0;0;2047;508;53;143;119;0;2817;693;205;7;159;322;1603;203;496;1308;295;;123896;;95162;66427;19308;216;168;48;444;1;0;1;572;0
SMURSAMU;2014;650000045;650780158;1;1;0;0;0;;0;0;168;168;0;;;;;514;7;;;;;521;234;44;5;32;153;259;15;56;215;44;;;;;;;;;;;;;;;
SMURSAMU;2014;650000417;650783160;1;1;0;0;0;;0;1;574;168;672;3;3;0;0;2120;867;0;468;12;;3467;876;210;13;172;391;1797;140;396;1295;502;109948;96143;87747;52681;49225;8910;208;168;20;360;1;1;0;1505;0
SMURSAMU;2014;650784218;650780174;1;1;0;0;0;;0;0;168;504;168;;1;;;470;;;;;;470;160;27;;49;78;282;15;79;204;78;;;;;;;;;;;;;;;
SMURSAMU;2014;660000084;660780180;1;1;0;0;0;;0;0;672;173;336;1;7;1;0;4275;1893;;691;333;;7192;772;51;9;339;380;3868;188;659;2741;1127;;;;;;;;;;;;;;;
SMURSAMU;2014;660008947;660780180;0;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;304873;210216;206296;136360;107734;32412;284;168;116;840;1;0;21;1979;1
SMURSAMU;2014;670000025;670780055;1;1;0;0;0;;0;1;784;667;667;4;5;0;0;7952;1279;;779;221;0;10231;4743;538;75;997;3133;3667;309;3363;3311;356;;;;245962;151937;46343;336;336;132;756;1;1;0;5932;0
SMURSAMU;2014;670000157;670780337;1;1;0;0;0;670780337;0;0;168;168;168;1;1;;;1442;202;;;;;1644;1147;2;0;244;901;1209;117;375;981;228;;;;;;;;;;;;;;;
SMURSAMU;2014;670000165;670780345;1;1;0;0;0;;0;0;168;168;168;1;1;;;1014;178;;;;;1192;327;78;5;65;179;687;;;499;188;;;;;;;;;;;;;;;
SMURSAMU;2014;670000272;670780543;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;743;89;0;0;0;0;832;300;48;38;34;182;442;29;120;276;166;;;;;;;;;;;;;;;
SMURSAMU;2014;670000397;670780691;1;1;0;0;0;;0;0;172;172;172;0;0;0;0;1079;188;0;0;0;0;1267;602;64;10;130;398;641;24;158;368;273;;;;;;;;;;;;;;;
SMURSAMU;2014;670783273;670780055;1;0;0;1;0;;0;0;113;96;;;;;;;618;265;;19;;637;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;680000684;680000973;1;1;0;0;0;;0;0;336;336;336;;;;;1795;916;;;;;2711;1005;159;7;150;689;1479;25;44;1267;212;;;;;;;;;;;;;;;
SMURSAMU;2014;680004546;680000486;1;1;0;0;0;680000486;0;1;336;504;504;;1;;;3403;718;209;355;282;;4758;1945;434;39;236;1236;3066;337;705;1646;1420;279577;272254;271807;134716;120914;35405;272;208;64;588;1;0;0;3270;0
SMURSAMU;2014;690000575;690782222;1;1;0;0;0;;0;0;48;35;35;;;;;1490;32;;;;;1522;199;146;33;;;1216;139;234;1050;166;;;;;;;;;;;;;;;
SMURSAMU;2014;690000625;690782271;1;1;0;0;0;;0;0;34;67;0;;2;;;481;80;0;0;0;0;561;92;49;0;13;30;389;64;78;122;267;;;;;;;;;;;;;;;
SMURSAMU;2014;690783154;690781810;1;1;0;0;1;690781810;0;1;816;568;792;6;4;3;;5483;2722;0;721;586;0;9512;1794;446;7;122;1229;3796;495;630;1145;2651;474333;381593;349020;314202;270898;107420;731;336;395;1536;1;1;0;1747;0
SMURSAMU;2014;690784137;690781810;1;0;0;0;1;690781810;0;0;336;168;336;2;1;0;0;2781;1190;0;5;8;0;3984;653;244;3;41;365;2398;218;359;798;1600;;;;;;;;;;;;;;;
SMURSAMU;2014;690784152;690781810;1;1;0;0;0;690781810;0;0;84;84;84;0;1;0;0;1373;22;0;3;0;0;1398;475;132;12;58;272;879;125;205;226;653;;;;;;;;;;;;;;;
SMURSAMU;2014;700000011;700780026;1;1;0;0;0;;0;0;168;168;168;;1;;;601;215;;0;0;;816;156;37;1;37;77;431;;;305;126;;;;;;;;;;;;;;;
SMURSAMU;2014;700000029;700004591;1;1;0;0;0;;0;0;218;168;168;1;2;;;1221;123;;30;;;1374;517;100;26;47;344;876;109;167;767;109;;;;;;;;;;;;;;;
SMURSAMU;2014;700780059;700004591;1;1;0;0;0;;0;0;70;70;0;;1;;;313;64;;18;4;;399;132;25;9;7;91;223;20;47;46;177;;;;;;;;;;;;;;;
SMURSAMU;2014;700780208;700004591;1;1;0;0;0;;0;0;168;168;0;;1;;;791;116;;19;;;926;380;47;15;50;268;524;39;97;61;463;;;;;;;;;;;;;;;
SMURSAMU;2014;710010067;710780644;1;1;0;0;0;710010067;0;0;168;168;203;;2;;;709;35;;;;;744;264;79;36;14;120;450;;;339;111;;;;;;;;;;;;;;;
SMURSAMU;2014;710010786;710781451;1;1;0;0;0;710010786;0;0;156;232;0;;1;;;505;22;;;;;527;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;710978263;710780958;1;1;0;0;0;710780958;0;1;376;376;376;3;3;;;1868;1153;62;100;457;;3578;666;222;45;224;175;1491;118;285;1088;403;223281;181440;177413;134481;96535;41337;282;168;114;452;1;0;21;1150;0
SMURSAMU;2014;710978289;710780263;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;1306;12;;;;;1318;210;119;4;76;4;1149;82;240;1094;55;;;;;;;;;;;;;;;
SMURSAMU;2014;710978313;710976705;1;1;0;0;0;;0;0;168;168;168;1;;;;645;14;11;;;;659;204;93;111;;;515;28;168;447;68;;;;;;;;;;;;;;;
SMURSAMU;2014;710978347;710781204;1;1;0;0;0;710978347;0;0;168;168;0;;1;;;585;17;;;;;602;313;73;11;53;176;468;23;132;399;69;;;;;;;;;;;;;;;
SMURSAMU;2014;720000033;720000025;1;1;0;0;0;720000025;0;1;336;336;336;3;2;0;0;2409;733;73;0;5;0;3147;843;372;34;74;843;1086;84;132;958;128;328297;252321;75976;124597;95943;25393;168;168;65;434;1;0;0;476;0
SMURSAMU;2014;720000470;610780082;1;0;0;0;1;;0;0;56;168;168;0;1;0;0;284;;;;;;284;78;32;3;8;39;207;18;54;98;109;;;;;;;;;;;;;;;
SMURSAMU;2014;720016179;720016724;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;461;163;;;;;624;211;74;0;24;109;355;33;101;198;157;;;;;;;;;;;;;;;
SMURSAMU;2014;730000031;730000015;1;1;0;0;0;;0;1;168;168;168;2;3;0;0;1862;1098;645;2;17;;2979;401;166;4;136;83;1004;114;453;921;83;168734;157457;141983;101936;71860;30156;330;180;130;672;1;0;43;870;0
SMURSAMU;2014;730000049;730002839;1;1;0;0;0;;0;0;168;183;0;;1;;;264;37;;581;34;;916;85;36;7;25;17;766;144;74;292;474;;;;;;;;;;;;;;;
SMURSAMU;2014;730000080;730780103;1;1;0;0;0;;0;0;672;504;0;;;;;356;1;0;511;26;0;894;103;67;0;36;0;707;80;59;415;292;;;;;;;;;;;;;;;
SMURSAMU;2014;730000247;730780525;1;1;0;0;0;;0;0;168;168;0;;;;;162;14;;;;;176;40;16;2;20;2;139;9;8;109;30;;;;;;;;;;;;;;;
SMURSAMU;2014;730000262;730002839;1;1;0;0;0;;0;0;168;168;0;;1;;;453;8;;;;;461;145;65;10;26;37;310;28;71;249;61;;;;;;;;;;;;;;;
SMURSAMU;2014;730010477;730780103;1;0;0;0;1;730780103;0;0;336;0;0;;;;;104;0;;511;26;0;641;;34;;15;;526;67;13;264;262;;;;;;;;;;;;;;;
SMURSAMU;2014;730010485;730000015;1;0;0;0;1;730000015;0;0;168;72;72;1;1;0;0;843;282;0;1;0;0;1126;216;84;1;79;47;627;61;182;94;533;;;;;;;;;;;;;;;
SMURSAMU;2014;740000237;740781133;1;1;0;0;0;;0;1;355;350;336;2;1;;;2884;327;8;240;64;0;3515;1465;308;0;491;666;1657;136;267;1544;113;279578;279578;279578;147877;125618;51919;369;225;144;701;1;0;21;1778;1
SMURSAMU;2014;740000302;740781133;1;1;0;0;0;;0;0;168;80;140;;2;;;971;36;;;;;1007;277;101;4;60;307;469;41;66;214;255;;;;;;;;;;;;;;;
SMURSAMU;2014;740000328;740790381;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;1075;25;;;;;1100;345;125;3;91;126;730;73;102;637;93;;;;;;;;;;;;;;;
SMURSAMU;2014;740781141;740790258;1;1;0;0;0;;0;0;252;252;252;2;2;;;1811;197;;9;;;2017;952;156;;221;575;784;62;121;619;165;;;;;;;;;;;;;;;
SMURSAMU;2014;740781166;740001839;1;0;0;0;1;740001839;0;0;198;112;0;0;1;0;0;173;2;;422;23;;620;50;34;16;;;545;;;468;77;;;;;;;;;;;;;;;
SMURSAMU;2014;740781224;740001839;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;818;122;;;;;940;173;112;61;;;645;;;472;173;;;;;;;;;;;;;;;
SMURSAMU;2014;750100018;750712184;1;1;0;0;0;;0;0;168;168;168;1;;;;1817;150;;;;;1967;926;95;20;73;788;859;28;153;783;76;;;;;;;;;;;;;;;
SMURSAMU;2014;750100042;750712184;1;1;0;0;0;;0;0;201;420;201;1;;;;2153;114;0;0;0;0;2267;1063;142;29;175;676;1090;28;188;604;486;;;;;;;;;;;;;;;
SMURSAMU;2014;750100125;750712184;1;1;0;0;0;;0;0;403;252;423;2;;;;2924;320;;;;;3244;;147;980;;;1797;;;1689;108;;;;;;;;;;;;;;;
SMURSAMU;2014;750100208;750712184;1;1;0;1;0;750100208;0;1;740;773;773;6;4;0;0;6281;1968;313;33;9;;8291;3190;327;14;353;2077;3117;353;663;299;2818;817151;388084;222994;310829;268122;42707;740;600;140;912;1;0;0;;0
SMURSAMU;2014;750803454;750712184;1;0;0;1;0;;0;0;245;170;172;2;0;0;0;547;813;0;0;5;0;1365;165;2;0;41;122;382;380;0;236;146;;;;;;;;;;;;;;;
SMURSAMU;2014;760000018;760780023;1;1;0;0;0;;0;0;168;177;175;1;;;;796;22;0;0;0;0;818;520;130;165;35;190;634;47;57;515;119;;;;;;;;;;;;;;;
SMURSAMU;2014;760000158;760780239;1;1;0;0;0;760000158;0;1;504;464;1032;4;4;1;0;3869;1929;82;80;120;0;5998;1272;470;27;127;648;3940;337;599;2621;1319;334738;325735;323154;164132;150619;59837;329;218;111;732;1;1;0;2557;0
SMURSAMU;2014;760000364;760780734;1;1;0;0;0;;0;0;40;175;171;;;;;928;;;;;;928;;103;66;861;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;760000372;760780742;1;1;0;0;0;760780742;0;0;168;168;70;0;0;0;0;862;0;0;0;0;0;862;315;90;1;38;190;546;34;141;224;322;;;;;;;;;;;;;;;
SMURSAMU;2014;760000463;760024042;1;1;0;0;0;;0;0;216;228;228;0;2;0;0;1212;99;;;;;1311;241;141;7;93;;934;157;210;659;275;;;;;;;;;;;;;;;
SMURSAMU;2014;760026252;760780023;1;0;0;0;1;760780023;0;0;168;177;0;1;;;;574;22;0;0;0;0;596;401;79;122;43;157;447;41;49;12;435;;;;;;;;;;;;;;;
SMURSAMU;2014;760805770;760780726;1;1;0;0;0;760780726;0;1;504;960;384;4;3;0;0;4284;897;135;211;246;11;5649;1076;288;20;647;121;3249;181;688;2519;730;218990;214113;161647;105535;104942;24364;225;168;57;368;1;1;0;280;0
SMURSAMU;2014;770000131;770110013;1;1;0;0;0;;0;0;168;168;168;;2;;;1059;;;;;;1059;464;99;5;53;307;911;;;618;293;;;;;;;;;;;;;;;
SMURSAMU;2014;770000149;770110021;1;1;0;0;0;;0;0;168;168;0;0;3;0;0;1042;8;0;1;0;0;1051;471;99;18;60;294;580;;;290;290;;;;;;;;;;;;;;;
SMURSAMU;2014;770000156;770110054;1;1;0;0;0;;0;1;406;418;426;3;7;;;3777;1335;;36;60;;5208;1923;249;10;277;1037;1857;184;331;1110;747;385930;254355;195319;192810;181548;42426;;336;196;878;1;0;0;6410;
SMURSAMU;2014;770000164;770110062;1;1;0;0;0;;0;0;168;168;168;;2;;;735;;;;;;735;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;770000172;770110070;1;1;0;0;0;770110070;0;0;336;336;336;3;1;;;947;283;;14;16;;1260;458;94;7;86;271;802;101;346;590;212;;;;;;;;;;;;;;;
SMURSAMU;2014;770000214;770130052;1;1;0;0;0;770000214;0;0;168;168;168;;1;;;817;;;;;;817;392;89;2;79;222;653;48;285;218;435;;;;;;;;;;;;;;;
SMURSAMU;2014;770000446;770700185;1;1;0;0;0;;0;0;336;174;49;2;3;0;0;2463;602;;;;;3065;1356;181;60;125;943;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;770019032;770170017;1;1;0;0;0;;0;0;379;379;336;3;3;0;0;3614;520;;31;;;4165;1569;30;33;324;1182;1708;296;475;1468;240;;;;;;;;;;;;;;;
SMURSAMU;2014;780000287;780110011;1;1;0;0;0;;0;0;180;180;180;1;1;;;1291;21;;11;;;1323;485;140;;134;317;862;81;182;520;342;;;;;;;;;;;;;;;
SMURSAMU;2014;780000311;780001236;1;1;0;0;0;780001236;0;0;336;228;336;;;;;2564;678;;;8;;3250;851;221;41;70;519;2232;318;681;1430;802;;;;;;;;;;;;;;;
SMURSAMU;2014;780000329;780110052;1;1;0;0;0;;0;0;168;168;0;;;;;763;0;0;8;0;0;771;245;68;7;31;139;657;;;368;289;;;;;;;;;;;;;;;
SMURSAMU;2014;780000337;780001236;1;1;0;0;0;;0;0;168;168;168;0;0;0;0;1614;4;;;;;1618;630;160;8;100;362;1346;104;467;668;678;;;;;;;;;;;;;;;
SMURSAMU;2014;780800256;780110078;1;1;0;0;0;780110078;0;1;761;462;732;4;5;0;0;4716;1098;0;8;9;0;5831;1858;343;41;501;973;2866;273;613;1627;1239;632593;585614;570717;456085;200686;0;797;0;0;1130;1;0;0;1283;0
SMURSAMU;2014;790000087;790000012;1;1;0;0;0;;0;1;336;252;420;3;2;0;0;2370;1471;;68;337;0;4246;532;265;21;242;4;1987;158;375;1729;258;161343;149910;109533;113533;82001;28369;270;168;108;442;1;0;0;312;0
SMURSAMU;2014;790000095;790006654;1;1;0;0;0;790000012;0;0;168;168;168;0;1;0;0;484;147;0;0;0;0;631;262;76;4;60;133;227;17;50;144;83;;;;;;;;;;;;;;;
SMURSAMU;2014;790000103;790006654;1;1;0;0;0;790000012;0;0;168;168;168;0;1;0;0;497;147;;;;;644;195;62;1;62;70;372;80;108;176;196;;;;;;;;;;;;;;;
SMURSAMU;2014;790003537;790006654;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;528;78;0;0;0;0;606;224;77;2;63;86;398;48;92;303;95;;;;;;;;;;;;;;;
SMURSAMU;2014;800000143;800000028;1;1;0;0;0;800000028;0;0;336;336;336;2;3;0;0;1900;106;12;0;0;0;2006;837;172;7;147;460;1116;101;192;955;161;;;;;;;;;;;;;;;
SMURSAMU;2014;800000226;800000069;1;1;0;0;0;;0;0;168;168;168;1;1;;;628;0;;;;;628;322;48;6;75;193;306;63;230;102;204;;;;;;;;;;;;;;;
SMURSAMU;2014;800000390;800000085;1;1;0;0;0;;0;0;168;168;168;1;1;;;896;1;0;0;0;0;897;454;69;9;49;327;445;38;64;114;331;;;;;;;;;;;;;;;
SMURSAMU;2014;800000432;800000093;1;1;0;0;0;;0;0;168;175;175;1;1;;;822;;;;;;822;377;56;4;69;248;725;68;90;355;370;;;;;;;;;;;;;;;
SMURSAMU;2014;800006124;800000044;1;1;0;1;0;800000044;0;1;290;708;450;4;3;2;0;3658;2675;1050;236;440;;7009;563;268;33;237;0;3071;376;478;2632;439;402325;254228;246824;117966;108300;22945;185;185;100;600;1;1;64;3876;0
SMURSAMU;2014;810000505;810000331;1;1;0;0;0;;0;1;336;168;336;1;2;0;0;1805;528;;;;;2333;963;170;6;174;613;1398;;;736;662;152990;145330;135370;94114;66633;27481;324;168;156;384;1;1;0;3370;0
SMURSAMU;2014;810000521;810000380;1;1;0;0;0;;0;0;505;336;336;1;3;;;1322;379;60;;;;1701;231;126;1;74;227;1091;135;349;879;212;;;;;;;;;;;;;;;
SMURSAMU;2014;810000562;810000455;1;1;0;0;0;;0;0;168;168;0;;1;;;494;0;0;0;0;0;494;265;42;2;58;190;414;42;79;212;202;;;;;;;;;;;;;;;
SMURSAMU;2014;820000032;820000016;1;1;0;0;0;820000016;0;1;336;84;252;1;4;0;0;1174;262;0;0;0;0;1436;382;140;5;30;226;746;72;118;373;373;144813;124773;118410;62086;50549;8589;198;168;30;421;1;1;0;2296;0
SMURSAMU;2014;820000883;820004950;1;1;0;0;0;820004950;0;0;168;236;88;;2;;;435;70;;;;;505;200;56;0;18;126;240;11;49;43;197;;;;;;;;;;;;;;;
SMURSAMU;2014;830000279;830100517;1;1;0;0;0;;0;0;168;84;168;1;2;0;0;1249;67;67;;;;1316;425;124;6;43;252;707;9;240;482;225;;;;;;;;;;;;;;;
SMURSAMU;2014;830000287;830100525;1;1;0;0;0;830000287;0;0;218;0;168;2;2;;;872;641;0;0;0;0;1513;280;86;10;29;155;602;54;195;489;113;;;;;;;;;;;;;;;
SMURSAMU;2014;830000295;830100533;1;1;0;0;0;;0;0;168;168;168;;2;;;1098;138;;;;;1236;377;117;32;;265;994;66;185;545;449;;;;;;;;;;;;;;;
SMURSAMU;2014;830000311;830100566;1;1;0;0;0;830100566;0;0;168;168;168;;2;;;1289;;;;;;1289;258;151;6;81;166;1035;69;302;939;96;;;;;;;;;;;;;;;
SMURSAMU;2014;830000337;830100590;1;1;0;0;0;830100590;0;0;168;168;0;0;2;0;0;654;0;0;0;0;0;654;238;75;34;41;121;514;;;336;178;;;;;;;;;;;;;;;
SMURSAMU;2014;830000345;830100616;1;1;0;0;0;830100616;0;1;476;476;574;;;;;3741;1630;722;375;206;;5952;1684;440;24;198;1022;2642;461;1256;1595;1047;446558;404358;348304;165925;161907;48128;;;;31;1;0;3;2111;0
SMURSAMU;2014;840000343;840000012;1;0;0;0;1;840006597;0;0;264;364;0;1;1;;;392;;;;;;392;269;35;1;86;147;295;37;89;251;44;;;;;;;;;;;;;;;
SMURSAMU;2014;840000392;840000046;1;1;0;0;0;;0;0;168;168;168;;2;;;1161;;;;;;1161;534;99;291;144;882;954;;;760;194;;;;;;;;;;;;;;;
SMURSAMU;2014;840000418;840004659;1;1;0;0;0;840004659;0;0;168;168;168;1;2;;;1570;3;;;;;1573;1081;126;;369;528;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;840000483;840000087;1;1;0;0;0;840000087;0;0;168;168;168;1;2;;;1264;329;0;;;;1593;747;107;5;204;425;538;112;37;349;189;;;;;;;;;;;;;;;
SMURSAMU;2014;840000491;130041916;1;0;0;0;1;;0;0;168;228;0;;;;;745;15;;;2;;762;166;58;11;85;12;584;52;157;486;98;;;;;;;;;;;;;;;
SMURSAMU;2014;840000525;840000111;1;0;0;0;1;840000087;0;0;168;168;0;;;;;636;12;;;;;648;363;76;22;68;197;315;59;17;82;233;;;;;;;;;;;;;;;
SMURSAMU;2014;840001861;840006597;1;1;0;0;0;;0;1;365;252;420;4;3;1;;3246;1345;;51;283;;4925;94;;;1177;;;;;;;262076;262076;;262076;130967;22022;257;257;;531;1;0;21;1712;1
SMURSAMU;2014;850000142;850000019;1;1;0;0;0;850000019;0;1;336;336;336;2;3;;;1771;758;23;79;58;;2666;576;151;;50;375;1450;193;252;1293;157;288467;262385;236112;177929;119244;62231;411;181;230;370;1;1;11;2806;0
SMURSAMU;2014;850000175;850009010;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;1057;49;0;0;0;0;1106;368;114;0;82;172;907;93;207;575;332;;;;;;;;;;;;;;;
SMURSAMU;2014;850000209;850000019;1;0;0;0;1;850000019;0;0;168;168;0;1;;;;429;25;;;;;454;93;39;;24;30;365;34;104;208;157;;;;;;;;;;;;;;;
SMURSAMU;2014;850000225;850000019;1;0;0;0;1;850000019;0;0;168;168;0;1;;;;397;4;;;;;401;161;48;;7;106;236;25;32;190;46;;;;;;;;;;;;;;;
SMURSAMU;2014;850000241;850000084;1;1;0;0;0;;0;0;168;168;168;1;1;;;843;71;;;;;914;146;53;3;12;78;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2014;850009630;850000035;1;1;0;0;0;850000035;0;0;168;175;168;1;0;0;0;503;13;0;5;0;0;521;92;62;0;30;0;447;33;143;301;146;;;;;;;;;;;;;;;
SMURSAMU;2014;860000025;860013382;1;1;0;0;0;;0;0;168;175;175;;1;;;771;1;1;;;;772;587;101;8;66;412;425;46;97;328;97;;;;;;;;;;;;;;;
SMURSAMU;2014;860000033;860013382;1;1;0;0;0;;0;0;168;168;0;;1;;;343;32;;;;;375;97;49;0;12;36;278;32;92;158;120;;;;;;;;;;;;;;;
SMURSAMU;2014;860000058;860780097;1;1;0;0;0;;0;0;168;168;0;;1;;;268;;;;;;268;41;34;1;6;;231;;;113;118;;;;;;;;;;;;;;;
SMURSAMU;2014;860000223;860013077;1;1;0;1;0;;0;1;547;488;456;4;1;1;0;2706;3030;193;242;747;;6725;411;217;8;50;136;2537;256;560;2518;19;143272;133035;125974;122654;83057;32673;295;168;129;504;1;0;0;950;0
SMURSAMU;2014;870000064;870000015;1;1;0;0;0;;0;1;336;336;336;3;3;1;0;2238;919;56;348;238;0;3743;447;176;2;88;181;2131;231;368;2043;88;197245;185410;160380;68079;26279;28752;304;168;136;425;1;0;3;650;0
SMURSAMU;2014;870000098;870000023;1;0;0;0;1;870000015;0;0;70;109;63;461;;;;414;45;37;;;;459;;43;;13;61;337;30;125;229;108;;;;;;;;;;;;;;;
SMURSAMU;2014;870000270;870000031;1;0;0;0;1;870000015;0;0;70;70;70;0;1;0;0;178;0;;;;;178;39;23;1;12;3;139;14;47;83;56;;;;;;;;;;;;;;;
SMURSAMU;2014;880000021;880007059;1;1;0;0;0;880007059;0;1;252;252;1488;;2;;;1130;427;76;;;;1557;393;186;11;;;981;;;761;220;164635;164635;;107825;82970;26476;239;168;71;448;1;1;0;2321;1
SMURSAMU;2014;880000039;880780069;1;0;0;0;1;880780077;0;0;70;70;70;;1;;;155;17;;;;;172;79;17;1;4;54;130;18;33;23;107;;;;;;;;;;;;;;;
SMURSAMU;2014;880000047;880780077;1;1;0;0;0;880780077;0;0;168;168;168;;1;;;592;147;;;24;;763;84;70;;14;;508;;;462;46;;;;;;;;;;;;;;;
SMURSAMU;2014;880000054;880007299;1;1;0;0;0;880007299;0;0;336;416;168;;1;;;319;118;0;0;0;;437;129;19;2;41;67;207;16;110;178;29;;;;;;;;;;;;;;;
SMURSAMU;2014;880000062;880780093;1;1;0;0;0;;0;0;406;574;168;0;1;0;0;461;196;58;;;;657;109;69;;27;13;358;35;82;287;71;;;;;;;;;;;;;;;
SMURSAMU;2014;880000070;880007299;1;0;0;0;1;880000054;0;0;168;252;168;;1;;;340;79;0;0;0;0;419;67;42;0;10;15;277;24;54;166;111;;;;;;;;;;;;;;;
SMURSAMU;2014;890975527;890000037;1;1;0;0;0;;0;1;336;504;416;;;;;1269;270;;224;375;;2138;425;124;10;109;182;1379;;;1333;46;158510;151440;151440;74169;61601;13396;168;;;;1;1;15;1594;0
SMURSAMU;2014;890975535;890000409;1;1;0;0;0;890975535;0;0;168;168;0;;;;;429;21;;;0;;450;113;36;6;34;113;353;26;84;240;113;;;;;;;;;;;;;;;
SMURSAMU;2014;890975543;890000417;1;1;0;0;0;890975543;0;0;277;279;277;1;2;;;928;293;;;;;1221;251;81;12;52;106;726;25;217;465;261;;;;;;;;;;;;;;;
SMURSAMU;2014;890975550;890970569;1;1;0;0;0;890970569;0;0;0;378;336;1;2;;;1111;224;;8;78;;1421;196;121;10;53;2;920;107;265;884;36;;;;;;;;;;;;;;;
SMURSAMU;2014;890975568;890000433;1;1;0;0;0;;0;0;168;168;168;;1;;;319;1;;;;;320;42;21;2;19;;278;;;206;72;;;;;;;;;;;;;;;
SMURSAMU;2014;900000167;900000365;1;1;0;0;0;;0;1;168;168;336;;2;;;1625;100;;;;;1725;457;161;11;177;108;927;93;320;726;201;79282;79282;79282;31128;22006;9122;160;112;48;252;1;0;0;139;0
SMURSAMU;2014;910000272;910110014;1;1;0;0;0;;0;0;168;35;168;;;;;1397;7;;;;;1404;656;119;12;58;467;749;45;149;156;593;;;;;;;;;;;;;;;
SMURSAMU;2014;910000298;910110055;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;1821;6;0;0;1;0;1828;817;144;24;133;511;1011;56;214;382;629;;;;;;;;;;;;;;;
