BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2014;420002669;420784878;;;;2;;2
Q22;2014;420009599;420002495;2;;;;;2
Q22;2014;420010050;420787061;9;;;;;9
Q22;2014;420010241;420013492;;2;;16;3;21
Q22;2014;420011413;420011405;2;;;8;;10
Q22;2014;420011512;420011504;;;;1;;1
Q22;2014;420011728;920028560;;;;1;;1
Q22;2014;420012320;420013831;2;;;1;;3
Q22;2014;420014110;420007098;;;;1;;1
Q22;2014;420780637;420002495;35;;;;;35
Q22;2014;420780678;420002495;4;;;;;4
Q22;2014;420782559;420784878;15;3;;4;;22
Q22;2014;420782567;420784878;3;0;0;9;0;12
Q22;2014;420784845;420780033;1;0;0;1;1;3
Q22;2014;420785354;420784878;204;12;;37;3;256
Q22;2014;430000026;630786754;;;;8;;8
Q22;2014;430000117;430000018;24;1;0;14;0;39
Q22;2014;430000190;430000034;;;;5;;5
Q22;2014;430007450;690030069;1;;;;;1
Q22;2014;440000016;440000057;26;1;;33;1;61
Q22;2014;440000024;440000065;3;;;2;;5
Q22;2014;440000180;440000263;4;0;0;4;0;8
Q22;2014;440000255;440042844;3;;;;;3
Q22;2014;440000271;440000289;214;27;17;68;;326
Q22;2014;440000396;440000297;;;;7;;7
Q22;2014;440000503;440000313;;;;8;;8
Q22;2014;440000552;440042141;;;;1;;1
Q22;2014;440000560;850009010;;;;5;;5
Q22;2014;440000701;440001220;;;;1;;1
Q22;2014;440000883;440042141;;;;2;;2
Q22;2014;440001113;490017258;23;2;;;;25
Q22;2014;440001188;440018661;;;;5;;5
Q22;2014;440001287;440041531;;;;1;;1
Q22;2014;440001972;440003309;8;;;3;;11
Q22;2014;440007607;440000057;6;;;;;6
Q22;2014;440012128;440003960;;;;1;;1
Q22;2014;440017598;440000289;64;1;;8;;73
Q22;2014;440029338;440041895;2;;;;;2
Q22;2014;440043123;440043115;2;;;;;2
Q22;2014;440050433;440041895;4;0;0;0;0;4
Q22;2014;450000021;450000088;16;;;10;3;29
Q22;2014;450000047;450000096;;;;4;;4
Q22;2014;450000062;450000104;1;;;11;;12
Q22;2014;450000070;450000112;3;;;1;;4
Q22;2014;450000930;450002423;4;0;0;0;0;4
Q22;2014;450002613;450000088;59;4;;17;4;84
Q22;2014;460000045;460780083;0;0;0;2;2;4
