BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2014;130002835;130789316;N1220;1;0;1;1;0;0;0
SMURSAMU_P;2014;130002835;130789316;N2120;0;1;0.25;1;0;0;0
SMURSAMU_P;2014;130002835;130789316;N2223;7;3;9;1;0;0;0
SMURSAMU_P;2014;130002835;130789316;N2500;0;0;0;;0;0;1
SMURSAMU_P;2014;130002835;130789316;N9999;8;4;10.25;;0;0;0
SMURSAMU_P;2014;130783293;130786049;M1140;1;1;0.74;;1;0;0.08
SMURSAMU_P;2014;130783293;130786049;M9999;17;5;9.69;;23;7;16.39
SMURSAMU_P;2014;130783293;130786049;MREG;0;0;0;;23;7;16.39
SMURSAMU_P;2014;130783293;130786049;N1220;1;0;1.8;;50;1;51.14
SMURSAMU_P;2014;130783293;130786049;N2120;2;0;2;;1;0;1
SMURSAMU_P;2014;130783293;130786049;N2223;27;3;30.01;;0;0;
SMURSAMU_P;2014;130783293;130786049;N2500;0;0;;;1;0;1
SMURSAMU_P;2014;130783293;130786049;N5140;33;0;33.17;;0;0;
SMURSAMU_P;2014;130783293;130786049;N9999;69;3;71.98;;57;2;57.4
SMURSAMU_P;2014;130786742;750821092;M9999;28;14;26.04;1;;;
SMURSAMU_P;2014;130786742;750821092;MREG;17;13;23.32;0;;;
SMURSAMU_P;2014;140000027;140000035;M9999;6;1;3.4;1;;;
SMURSAMU_P;2014;140000027;140000035;N1220;2;;0.25;1;;;
SMURSAMU_P;2014;140000027;140000035;N2120;1;;0.25;1;;;
SMURSAMU_P;2014;140000027;140000035;N2223;21;12;4;1;;;
SMURSAMU_P;2014;140000027;140000035;N2500;15;2;4;;;;
SMURSAMU_P;2014;140000027;140000035;N9999;39;14;8.5;1;;;
SMURSAMU_P;2014;140000209;140000100;M9999;10;;8.08;0;3;;1.6
SMURSAMU_P;2014;140000209;140000100;MREG;;;;0;3;;1.6
SMURSAMU_P;2014;140000209;140000100;N1220;1;1;0.3;0;19;1;18.99
SMURSAMU_P;2014;140000209;140000100;N2120;2;;0.3;0;;;
SMURSAMU_P;2014;140000209;140000100;N2223;17;5;18.36;0;;;
SMURSAMU_P;2014;140000209;140000100;N2500;;;;;1;;0.8
SMURSAMU_P;2014;140000209;140000100;N5140;21;;20.9;0;;;
SMURSAMU_P;2014;140000209;140000100;N9999;41;6;39.86;0;20;1;19.79
SMURSAMU_P;2014;140000233;140000118;M9999;1;3;4.14;1;;;
SMURSAMU_P;2014;140000233;140000118;N1220;;1;0.3;1;;;
SMURSAMU_P;2014;140000233;140000118;N2120;;1;0.05;1;;;
SMURSAMU_P;2014;140000233;140000118;N2223;1;4;2.94;1;;;
SMURSAMU_P;2014;140000233;140000118;N2500;1;5;3.1;;;;
SMURSAMU_P;2014;140000233;140000118;N2620;;1;1.53;1;;;
SMURSAMU_P;2014;140000233;140000118;N5140;;2;0.4;1;;;
SMURSAMU_P;2014;140000233;140000118;N9999;2;16;10.02;1;;;
SMURSAMU_P;2014;140000373;140000159;M9999;1;2;1.26;1;;;
SMURSAMU_P;2014;140000373;140000159;N2223;1;;1;0;;;
SMURSAMU_P;2014;140024886;140000092;M9999;7;6;10.2;1;;;
SMURSAMU_P;2014;140024886;140000092;N1220;1;;0.1;1;;;
SMURSAMU_P;2014;140024886;140000092;N2120;1;;0.1;1;;;
SMURSAMU_P;2014;140024886;140000092;N2223;4;3;5.75;1;;;
SMURSAMU_P;2014;140024886;140000092;N2620;6;;5.2;1;;;
SMURSAMU_P;2014;140026410;140026279;M9999;3;;2.5;1;;;
SMURSAMU_P;2014;140026410;140026279;MREG;3;;2.5;1;;;
SMURSAMU_P;2014;140026410;140026279;N1220;1;;0.5;1;;;
SMURSAMU_P;2014;140026410;140026279;N2120;1;;0.15;1;;;
SMURSAMU_P;2014;140026410;140026279;N2223;5;;0.6;1;;;
SMURSAMU_P;2014;140026410;140026279;N2500;4;;3.04;;;;
SMURSAMU_P;2014;140026410;140026279;N2620;;;;1;;;
SMURSAMU_P;2014;140026410;140026279;N3120;;;;1;;;
SMURSAMU_P;2014;140026410;140026279;N9999;;;;1;;;
SMURSAMU_P;2014;150000032;150780088;M9999;3;0;2.52;1;;;
SMURSAMU_P;2014;150000032;150780088;N2223;11;;5.67;1;;;
SMURSAMU_P;2014;150000040;150780096;M9999;19;;4.96;1;13;;3.56
SMURSAMU_P;2014;150000040;150780096;N1220;;;;;8;;8
SMURSAMU_P;2014;150000040;150780096;N2120;;1;0.2;1;;;
SMURSAMU_P;2014;150000040;150780096;N2223;3;10;6;1;;;
SMURSAMU_P;2014;150000040;150780096;N2620;2;;2;0;;;
SMURSAMU_P;2014;150000040;150780096;N5140;4;;4;0;;;
SMURSAMU_P;2014;150000040;150780096;N9999;9;11;12.2;;;;
SMURSAMU_P;2014;150000164;150780468;M9999;2;;1;1;;;
SMURSAMU_P;2014;150000164;150780468;N2500;6;1;0.69;;;;
SMURSAMU_P;2014;160000253;160000451;M9999;11;1;7.26;0;11;1;3.99
SMURSAMU_P;2014;160000253;160000451;MREG;0;0;0;0;11;1;3.99
SMURSAMU_P;2014;160000253;160000451;N1220;0;0;0;0;19;0;18.35
SMURSAMU_P;2014;160000253;160000451;N2120;2;;0.54;1;2;0;0.54
SMURSAMU_P;2014;160000253;160000451;N2223;1;0;1.38;1;0;0;0
SMURSAMU_P;2014;160000253;160000451;N2500;0;0;0;;0;0;0.06
SMURSAMU_P;2014;160000253;160000451;N5140;9;1;10.08;0;;0;0
SMURSAMU_P;2014;160000253;160000451;N9999;12;1;12;;22;1;21.55
SMURSAMU_P;2014;160000303;160006037;M9999;9;;8.56;1;;;
SMURSAMU_P;2014;160000303;160006037;N1220;;1;0.8;1;;;
SMURSAMU_P;2014;160000303;160006037;N2120;1;;0.3;1;;;
SMURSAMU_P;2014;160000303;160006037;N2223;9;2;10.1;1;;;
SMURSAMU_P;2014;160000303;160006037;N9999;10;3;11.2;1;;;
SMURSAMU_P;2014;160000311;160000485;M9999;7;0;4;1;;;
SMURSAMU_P;2014;160000311;160000485;N2223;7;0;0.7;1;;;
SMURSAMU_P;2014;160000337;160000493;M9999;12;;1.68;1;;;
SMURSAMU_P;2014;160000337;160000493;N1220;3;;0.5;1;;;
SMURSAMU_P;2014;160000337;160000493;N2120;2;;0.3;1;;;
SMURSAMU_P;2014;160000337;160000493;N2223;10;4;2.92;1;;;
SMURSAMU_P;2014;160000337;160000493;N2500;10;;1.56;;;;
SMURSAMU_P;2014;160000337;160000493;N9999;16;7;6.21;1;;;
SMURSAMU_P;2014;160015368;160014411;M9999;4;3;2.26;1;;;
SMURSAMU_P;2014;160015368;160014411;N2120;1;;0.36;;;;
SMURSAMU_P;2014;160015368;160014411;N2223;4;1;4.88;0;;;
SMURSAMU_P;2014;160015368;160014411;N5140;5;;5;0;;;
SMURSAMU_P;2014;160015368;160014411;N9999;11;;10.24;;;;
SMURSAMU_P;2014;170000038;170780050;M9999;4;;4.43;1;;;
SMURSAMU_P;2014;170000038;170780050;N2120;1;;0.43;1;;;
SMURSAMU_P;2014;170000038;170780050;N9999;8;;7.28;1;;;
SMURSAMU_P;2014;170000087;170023279;M9999;9;0;9;1;5;0;5
SMURSAMU_P;2014;170000087;170023279;MREG;;;;;4;1;4.6
SMURSAMU_P;2014;170000087;170023279;N1220;;;;;20;5;22.68
SMURSAMU_P;2014;170000087;170023279;N2120;;;;;1;;1
SMURSAMU_P;2014;170000087;170023279;N2223;11;2;11.51;0;;;
SMURSAMU_P;2014;170000087;170023279;N2500;1;;1;;1;;1
SMURSAMU_P;2014;170000087;170023279;N5140;11;;11;0;;;
SMURSAMU_P;2014;170000087;170023279;N9999;23;2;23.51;0;;;
SMURSAMU_P;2014;170000095;170780167;M9999;0;4;1.93;1;0;0;0
SMURSAMU_P;2014;170000095;170780167;N1220;0;1;0.1;1;;;
SMURSAMU_P;2014;170000095;170780167;N2120;0;1;0.1;1;;;
SMURSAMU_P;2014;170000095;170780167;N2223;2;1;2.9;1;;;
SMURSAMU_P;2014;170000095;170780167;N2620;0;0;0;1;;;
SMURSAMU_P;2014;170000095;170780167;N3120;0;0;0;1;;;
SMURSAMU_P;2014;170000095;170780167;N5140;0;1;0.23;1;;;
SMURSAMU_P;2014;170000095;170780167;N9999;2;4;3.33;;;;
SMURSAMU_P;2014;170000103;170780175;M9999;11;4;3.58;1;0;0;0
