BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2014;930000336;930110069;0;;;;;1;24;0;782;0;8391;3;;;;2.72;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;930100011;750712184;0;;;;;1;38;1;1087;446;11450;7;7;2;;7;2;0;0;1;1;13;18;2;1;9;;3;;;2;8;20.6;0.2;1;9.4
MCOGER;2014;930100037;750712184;1;856;0;691;2;1;10;;344;0;3589;2;2;1;;2.83;2;0;0;0;0;7;9;;;1;;;;;;6.63;8.17;;;0.92
MCOGER;2014;930706239;930110051;1;235;;;1;1;22;2;687;122;7453;3;;1;;2.1;;;;;;12;15;2;;10;;;;;;11.34;14.68;0.75;;8.56
MCOGER;2014;940000573;940110018;1;1419;0;1022;1.99;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;940000599;940110042;1;474;6;;1.75;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2014;940000649;940150014;1;;;;;1;29;1;803;125;9838;2;2;1;1;2.7;2.7;0;0;0;0;10;13;;;;1;;;;1;10.37;10.79;;;0.5
MCOGER;2014;940100027;750712184;1;1069;;1024;3.1;1;70;5;1659;1245;18955;6;4;3;2;7.8;5.3;0;0;1;1;37;48;;;;1;1;;;;37.8;48.8;;;
MCOGER;2014;940100035;750712184;0;;;;;1;97;5;3984;836;38422;6;6;8;8;12.4;12.4;0;0;;;49;67;;;;19;19;4;2;7;59.49;70.57;1.3;0.9;3.8
MCOGER;2014;940100043;750712184;1;758;32;;4;1;24;0;701;0;8146;3;;;;3;;;;;;12;15;0;0;3;2;1;0;0;2;13.4;15.4;0;0;4.3
MCOGER;2014;940100050;750712184;0;;;;;1;44;4;1257;1361;14882;3;1;3;3;4.6;2.6;0;0;1;1;8;24;3;;7;2;2;1;0;4;9.4;25.5;0.1;0;1.9
MCOGER;2014;940100068;750712184;0;;;;;1;34;6;925;1222;13653;4;4;1;1;3.9;3.9;0;0;0;0;15;14;1;0;;2;3;0;0;;16.6;15.4;1;0;
MCOGER;2014;950000307;950110015;1;830;0;563;4.5;1;27;4;611;353;9689;7;2;0;0;5.47;2.15;0;0;1;1;12;17;0;0;8;1;0;0;0;1;11.69;15.31;0;0;9
MCOGER;2014;950000315;950001370;1;139;75;107;3;1;12;0;474;0;3697;;;2;;1.81;;;;;;4;4;;;1;2;2;;;1;4.8;4.93;;;0.81
MCOGER;2014;950000323;950013870;1;928;;839;2.24;1;44;2;1024;547;14505;2;2;4;6;6.51;2.87;0;0;0;0;17;17;;;4;5;4;;;20;18.44;35.2;;;11.93
MCOGER;2014;950000331;950110049;1;86;0;;30.01;1;13;1;402;62;4459;3;3;1;1;1.33;1.33;0;;0;;10;16;;;3;1;;;;2;10.46;14.93;;;2.84
MCOGER;2014;950000364;950110080;1;385;0;190;2.55;1;26;0;875;0;9557;;0;;0;;0;;;;;9;12;0;0;6;3;0;;0;1;12.16;13.15;0;0;7.06
MCOGER;2014;950000406;950150037;0;;;;;1;20;;465;0;6542;1;1;1;1;1.53;1.8;;;1;1;6;9;;;1;3;;1;;;5.27;4.33;0.1;;0.33
