BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2014;830000345;830100616;USIC;16;5840;1683;;;5437;;;;6;;3.03;1;1;20.16;14;7;1.3;17;2;19.35;;;;3;1;3.19
REA;2014;830100103;830000022;SURVADU;12;4380;560;;;5864;;;;8;;8;;;8.51;8;;;5;;5.1;;2;1;;2;2
REA;2014;830100251;830000063;SURVADU;5;1825;312;;;1012;;;;25;;;;;5;5;;;;2;1.86;;;;;;
REA;2014;830100319;750052425;REAADU;10;3650;311;319;10;3214;53;;101;11;;;;1;22.33;22;1;0.5;8;2;9.2;;;;;;
REA;2014;830100319;750052425;SITOT;8;2920;959;;;2534;;;;;;;;;;;;;;;;;;;;;
REA;2014;830100319;750052425;SURVADU;16;7015;1187;;;5666;;;;25;;;1;;9;9;;1;;;;;;;;;
REA;2014;830100319;750052425;USIC;8;2920;959;;;2534;;;;9;;;1;;10;10;;1;5;4;7.25;;;;;;
REA;2014;830100392;830000154;SURVADU;8;2920;1445;;;5603;;;;;;;;;6;6;;;4;;4;;;;;;
REA;2014;830100434;830000196;SURVADU;15;5475;1126;;;7659;;;;7;;7;;;9.9;7;4;;6;;6.48;;4;2;;2;1.03
REA;2014;830100459;830000212;SURVADU;8;2920;300;;;1376;;;;29;;;;;;;;;;;;;;;;;
REA;2014;830100574;750821092;AUTSI;4;1460;23;;;305;;;;1;;0.2;1;;0.5;1;;0.1;1;;0.5;;;;;1;0.1
REA;2014;830100574;750821092;REAADU;9;3285;474;502;50;3168;12;65;74;3;;2.7;1;;21;21;;0.5;10;;10.5;1;;0.2;;;
REA;2014;830100574;750821092;SITOT;14;4745;859;;;2980;;;;;;;;;;;;;;;;;;;;;
REA;2014;830100574;750821092;SIUNV;2;365;70;;;131;;;;3;;2.1;1;;4.7;5;;0.36;5;;4.7;;;;;2;1.45
