BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2014;020009684;020002085;9999;0.05;;1.37;;1.42;0.2;3.9;;13.57;5;0.16;;0.33;23.16;0.43;;0.43;0.16;3.9;29.07
Q24;2014;020010047;020001632;1000;1;1;30;;32;;;;;5;;;;5;;;;;;37
Q24;2014;020010047;020001632;2000;;;;;;4;76;5.4;88.03;29;;12.79;;215.22;;1;1;5.7;7;228.92
Q24;2014;020010047;020001632;2100;;;;;;4;76;5.4;88.03;29;;12.79;;215.22;;1;1;5.7;7;228.92
Q24;2014;020010047;020001632;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010047;020001632;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010047;020001632;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010047;020001632;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010047;020001632;9999;1;1;30;;32;4;76;5.4;88.03;34;;12.79;;220.22;;1;1;5.7;7;265.92
Q24;2014;020010310;750719361;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010310;750719361;2000;0.5;;1.82;;2.32;0.5;3.14;;;;0.38;;0.16;4.18;2.63;0.23;2.86;;1.4;10.76
Q24;2014;020010310;750719361;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010310;750719361;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010310;750719361;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010310;750719361;2400;0.5;;1.82;;2.32;0.5;3.14;;;;0.38;;0.16;4.18;2.63;0.23;2.86;;1.4;10.76
Q24;2014;020010310;750719361;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010310;750719361;9999;0.5;;1.82;;2.32;0.5;3.14;;;;0.38;;0.16;4.18;2.63;0.23;2.86;;1.4;10.76
Q24;2014;020010898;750721334;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010898;750721334;2000;0.56;0.7;0.55;;1.81;0.9;;;2;0.35;0.25;;;3.5;;;;;;5.31
Q24;2014;020010898;750721334;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010898;750721334;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010898;750721334;2300;0.56;0.7;0.55;;1.81;0.9;;;2;0.35;0.25;;;3.5;;;;;;5.31
Q24;2014;020010898;750721334;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010898;750721334;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020010898;750721334;9999;0.56;0.7;0.55;;1.81;0.9;;;2;0.35;0.25;;;3.5;;;;;;5.31
Q24;2014;020011698;020006318;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020011698;020006318;2000;0.2;;1.98;;2.18;1.12;4.83;;4.68;;;;;10.63;;;;;;12.81
Q24;2014;020011698;020006318;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020011698;020006318;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020011698;020006318;2300;0.2;;1.98;;2.18;1.12;4.83;;4.68;;;;;10.63;;;;;;12.81
Q24;2014;020011698;020006318;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020011698;020006318;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020011698;020006318;9999;0.2;;1.98;;2.18;1.12;4.83;;4.68;;;;;10.63;;;;;;12.81
Q24;2014;020014767;590805065;1000;;;;;;;;;;;;;;;;;;;;
Q24;2014;020014767;590805065;2000;;;2.9;;2.9;1;2;;12.5;;0.5;;;16;;;;;;18.9
Q24;2014;020014767;590805065;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;020014767;590805065;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;020014767;590805065;2300;;;2.9;;2.9;1;2;;12.5;;0.5;;;16;;;;;;18.9
Q24;2014;020014767;590805065;2400;;;;;;;;;;;;;;;;;;;;
Q24;2014;020014767;590805065;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;020014767;590805065;9999;;;2.9;;2.9;1;2;;12.5;;0.5;;;16;;;;;;18.9
Q24;2014;030000012;030180020;1000;;;11.55;;11.55;;;;0.08;0;;;0.06;0.14;;;;0.06;11;22.75
Q24;2014;030000012;030180020;2000;;;3.15;;3.15;2;15.03;;21.86;16.85;1.1;;8.95;65.79;2;0.8;2.8;1.52;;73.26
Q24;2014;030000012;030180020;2100;;;;;;;;;;;;;;;;;;;;
Q24;2014;030000012;030180020;2200;;;;;;;;;;;;;;;;;;;;
Q24;2014;030000012;030180020;2300;;;;;;;;;;;;;;;;;;;;
Q24;2014;030000012;030180020;2400;;;3.15;;3.15;2;15.03;;21.86;16.85;1.1;;8.95;65.79;2;0.8;2.8;1.52;;73.26
Q24;2014;030000012;030180020;2500;;;;;;;;;;;;;;;;;;;;
Q24;2014;030000012;030180020;9999;;;14.7;;14.7;2;15.03;;21.94;16.85;1.1;;9.01;65.93;2;0.8;2.8;1.58;11;96.01
Q24;2014;030000061;030780092;1000;9.83;2.42;111.53;;123.78;12.02;14.37;0.45;28.3;69.74;0.83;;3.84;129.55;2;2.87;4.87;0.39;212.64;471.23
Q24;2014;030000061;030780092;2000;;;92.29;;92.29;37.65;547.45;36.55;375.94;138.96;18.05;28.31;13.62;1196.53;10.91;11.56;22.47;77.63;10.37;1399.29
Q24;2014;030000061;030780092;2100;;;74.97;;74.97;21.46;303.33;36.55;270.84;39.88;7.42;28.31;7.16;714.95;;2.69;2.69;77.63;7.66;877.9
Q24;2014;030000061;030780092;2200;;;14.75;;14.75;12.71;202.01;;56.59;66.73;10.08;;6.46;354.58;10.91;8.87;19.78;;2.67;391.78
Q24;2014;030000061;030780092;2300;;;0.54;;0.54;0.88;6.68;;0;;;;;7.56;;;;;;8.1
Q24;2014;030000061;030780092;2400;;;0.86;;0.86;1;18.83;;20.21;3.26;0.2;;;43.5;;;;;0.04;44.4
Q24;2014;030000061;030780092;2500;;;1.17;;1.17;1.6;16.6;;28.3;29.09;0.35;;;75.94;;;;;;77.11
Q24;2014;030000061;030780092;9999;9.83;2.42;203.82;;216.07;49.67;561.82;37;404.24;208.7;18.88;28.31;17.46;1326.08;12.91;14.43;27.34;78.02;223.01;1870.52
Q24;2014;030000079;030780100;1000;3.61;0.37;69.36;;73.34;5.51;20.23;0.17;39.76;27.93;0.84;0.67;1.67;96.78;;4.59;4.59;4.7;198.08;377.49
Q24;2014;030000079;030780100;2000;0.45;;60.54;;60.99;16.52;268.19;29.04;266.07;103.8;4.7;23.63;12.21;724.16;0.58;5.25;5.83;67.97;14.74;873.69
