BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2014;740000237;740781133;1;1;36;4;242;3505;8589;12;12;5;4;8.94;4.79;1;1;0;0;15;11;29;0;0;6;3;5;6;0;0;15.62;3;14.56;32.15;0;0;6.25
MCOPED;2014;740000302;740781133;1;0;8;;0;1104;1898;0;0;2;2;2.17;2.17;0;0;1;1;2;1;2;0;0;3;5;1;5;0;0;5.6;1;1.89;6.47;0;0;3.42
MCOPED;2014;740000328;740790381;1;0;14;0;0;2348;3918;6;6;2;2;3.57;3.57;0;0;1;1;24;;7;;;24;;;;;;11.09;;;2.85;;;6.84
MCOPED;2014;740781141;740790258;1;0;22;;0;2479;5281;4;4;7;7;7.3;7.3;0;0;1;1;5;3;5;0;0;6;4;2;5;0;1;8.97;3;3.36;9.07;0;0.5;6.16
MCOPED;2014;740781224;740001839;1;1;22;4;739;1827;4918;3;3;1;1;2.01;1.96;0;0;1;1;11;3;6;;;6;7;3;5;;1;12.26;5;3.05;8.23;;0.75;7.23
MCOPED;2014;750000549;750150229;1;0;13;0;0;688;1738;5;2;7;5;7.82;3.82;0;0;1;1;;2;1;;;5;;;;;1;;;1.59;1;;0.52;4.22
MCOPED;2014;750100109;750712184;1;1;144;37;6547;11369;40205;107;54;66;41;127.2;67.9;1;1;0;0;194;19;49;8;10;189;44;4;9;2;9;222.8;47;22;51.3;7.6;15.8;234.6
MCOPED;2014;750100166;750712184;1;;10;6;1138;205;3156;2;;1;;2.5;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;750100208;750712184;1;1;433;72;10777;21615;91379;;;;;253.08;;1;1;1;1;476;113;130;0;18;;60;14;14;1;14;525.49;;133.45;136.49;0.4;28.79;302.41
MCOPED;2014;750160012;750813321;1;0;16;5;;;;6;6;4;4;7.45;7.45;0;0;1;1;14;5;8;0;0;11;7;2;0;0;0;18.38;2;7.58;7.92;0;0;11.98
MCOPED;2014;750803454;750712184;1;;202;50;9485;13694;54707;111;68;133;53;151.34;86.08;1;1;1;1;259;46;78;15;10;188;41;5;8;4;7;291.4;48;55;84.5;17.5;13.39;219.31
MCOPED;2014;760000018;760780023;1;1;21;2;333;1471;3211;2;2;3;3;5.33;5.33;0;0;1;1;6;3;7;0;1;13;11;4;5;0;0;14.98;5;5.9;11.24;0;0.7;9.06
MCOPED;2014;760000158;760780239;1;1;208;18;4948;8405;36475;27;15;11;6;22.7;11.3;;;;;122;51;97;;6;67;81;44;43;;4;168.23;23;78.4;111.03;;5.73;48.5
MCOPED;2014;760000364;760780734;1;0;11;;0;944;2851;;;;;;;;;;;12;1;0;0;1;10;1;0;0;0;0;11.98;1;1.24;0;0;0.02;8.07
MCOPED;2014;760000463;760024042;1;1;12;;0;1541;3693;7;7;;;5.32;5.32;1;;;;;;;;;;19;6;;;;4.92;38;1.34;;;;6.57
MCOPED;2014;760805770;760780726;1;1;62;14;1063;5994;13382;9;9;6;6;9.93;9.93;1;1;1;1;38;5;0;0;0;62;41;11;0;0;1;57.67;55;12.15;0.08;0;0.8;87.3
MCOPED;2014;770000131;770110013;1;1;10;;0;828;2083;5;5;1;1;5.65;5.65;1;1;0;0;4;4;8;;;2;2;;2;;1;6;2;4.5;9.6;;0.5;2.49
MCOPED;2014;770000149;770110021;1;1;15;3;813;1880;3455;8;8;4;4;4.91;4.91;1;1;0;0;15;2;7;;;8;5;1;;;;12.06;5;2.68;7.55;;;8.17
MCOPED;2014;770000156;770110054;1;1;30;2;283;2454;4960;7;7;6;6;3.5;3.5;1;1;0;0;30;5;9;;2;9;8;3;;;1;35.94;1;7.1;9.95;;1.28;10.38
MCOPED;2014;770000164;770110062;1;1;16;1;309;1273;3720;4;4;1;1;4.73;4.73;0;0;1;1;5;4;17;;2;9;;;;;;5.33;;3.5;16.98;;0.8;6.88
MCOPED;2014;770000172;770110070;1;1;14;2;114;1048;2411;5;5;;;3.36;3.36;;1;;;9;1;4;;;2;3;1;3;;;10.61;2;1.56;6.6;;;3.04
MCOPED;2014;770000446;770700185;1;1;34;3;957;3785;10290;7;7;6;4;8.5;8.3;0;0;0;0;5;1;7;;;13;10;1;3;;3;14.43;5;1.54;9;;1.5;17.01
MCOPED;2014;770019032;770170017;1;1;25;2;865;1882;6915;4;;2;;1.67;;;;;;18;;10;;;5;2;;;;;18.72;1;;9.97;;;5.79
MCOPED;2014;770300135;770000289;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;780000287;780110011;1;1;32;;0;3373;6660;3;3;;;2.9;2.18;;;;;12;2;22;2;;7;5;2;9;;2;17.32;2;3.23;26.86;0.42;1.25;5.09
MCOPED;2014;780000311;780001236;1;1;26;4;898;3285;6134;7;7;6;5;8.71;8.51;0;0;0;0;14;10;11;;;12;4;4;6;;1;17.63;4;13.16;15.94;;1.67;14.42
MCOPED;2014;780000329;780110052;1;1;13;3;334;1087;2430;7;7;1;1;6.26;6.26;1;1;0;0;13;4;10;;;7;4;1;2;;1;13.5;;4.08;10.49;;0.2;7.62
MCOPED;2014;780000337;780001236;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;780300414;780000675;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;780630026;750803900;1;0;1;8;1389;44;292;1;1;8;5;2.13;1.23;1;1;1;0;14;;6;;;;;;3;;;0.27;1;;1.1;;;0.95
MCOPED;2014;780800256;780110078;1;0;34;6;1248;2832;8829;;14;;15;;18.85;;1;;;17;8;18;;;12;6;6;9;;2;21.35;6;13.04;22.93;;1.5;11.63
MCOPED;2014;790000087;790000012;1;1;29;5;231;2488;5781;7;7;3;3;8.83;8.83;1;1;0;0;10;7;12;;2;3;7;1;11;1;1;15.24;13;8.25;18.67;0.13;1.62;9.85
MCOPED;2014;800000143;800000028;1;0;19;1;83;1659;3231;5;5;3;3;5.37;5.37;0;0;1;1;5;3;2;0;1;11;5;2;3;0;0;9.76;3;4.66;5.05;0;0.33;12.48
MCOPED;2014;800000192;800000044;1;0;108;17;1546;4554;16787;;;;;17.01;10.34;1;1;0;0;;;;;;;;;;;;16.3;;6.43;9.9;;0.37;9.99
MCOPED;2014;800006124;800000044;1;1;112;28;549;1586;4749;39;21;8;2;17.01;10.34;1;1;0;0;38;15;31;;2;39;39;14;11;;;16.3;11;6.43;9.9;;0.37;9.99
MCOPED;2014;810000224;810000471;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;810000505;810000331;1;1;18;2;487;1167;2724;5;5;1;1;1.24;1.24;0;0;1;1;6;3;5;;;5;4;0;4;;;8.77;4;3;4.34;;;5.19
MCOPED;2014;810000521;810000380;1;0;12;0;0;1685;2925;5;5;1;1;6.42;6.42;0;0;1;1;2;5;7;4;;5;4;8;5;5;;5.2;1;6.63;10.68;0.22;;2.88
MCOPED;2014;820000032;820000016;1;0;19;0;0;1892;2914;3;3;2;2;1.5;1.5;0;0;1;1;7;2;1;1;;7;1;2;1;;;5.35;1;3.91;2;0.25;;10.55
MCOPED;2014;830000287;830100525;1;0;12;2;75;1212;2262;2;2;2;2;3.1;3.1;1;1;0;0;5;2;3;;;4;7;4;3;;1;8;3;4.97;4.99;;0.25;10.21
MCOPED;2014;830000295;830100533;1;;20;;0;2157;4147;3;3;6;6;5.38;5.38;0;0;1;1;;7;8;;;4;;10;2;1;;;9;13.86;8.44;0.1;;8.9
MCOPED;2014;830000311;830100566;1;1;23;3;361;2440;5999;4;4;1;1;2.82;2.82;1;1;;;7;9;12;;;;2;2;1;;;8.71;;11.3;12.92;;;
MCOPED;2014;830000345;830100616;1;1;43;1;496;5139;9767;;;7;7;0.67;0.67;;;;;1;2;4;0;0;0;2;2;3;0;0;2.37;5;3.57;6.5;0;0;0.55
MCOPED;2014;830100558;690781810;1;0;2;2;306;26;326;0;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;840000392;840000046;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;840000418;840004659;1;0;1;;0;37;95;0;0;4;4;1.6;1.6;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;840000483;840000087;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2014;840001861;840006597;1;1;56;1;135;5878;11126;5;4;7;3;5.24;3.55;0;;1;;9;15;23;1;2;68;11;12;9;;2;12.49;4;19.79;21.89;0.36;1.34;15.16
MCOPED;2014;850000142;850000019;1;1;27;3;1033;2472;5292;;;11;10;2.69;2.64;1;1;0;0;;2;1;;;2;12;10;21;;;7.64;18;8.51;16.45;0;0;11.99
MCOPED;2014;850000241;850000084;1;0;7;;0;808;1524;3;3;2;2;2.49;2.49;0;0;0;0;4;1;1;0;0;3;3;1;6;0;0;6.29;7;1.75;6.07;0;0;8.73
MCOPED;2014;850009630;850000035;1;0;10;0;0;985;1645;2;2;1;1;2.6;2.6;0;;1;;2;1;1;;;1;3;3;6;;1;4.34;2;3.2;6.03;;0.35;2.19
MCOPED;2014;860000223;860013077;1;1;39;10;739;4609;11760;13;12;3;3;9.33;9.33;0;0;1;1;13;2;11;1;1;5;6;4;9;;;14.34;;5.47;16.19;0.4;1;4.95
MCOPED;2014;860780568;860000140;1;;4;;0;13;21;5;2;;1;5;2.3;0;0;1;1;6;;5;;;;;;;;;6;;;5;;;
MCOPED;2014;870014859;870000015;1;1;111;12;1421;4396;12604;25;14;6;3;16;9.1;1;1;1;1;64;50;41;8;1;78;28;24;8;0;2;78.63;18;62.15;43.98;7.03;0.69;82.26
MCOPED;2014;880000021;880007059;1;1;16;;0;1502;2533;5;;3;;6.5;;1;;0;;13;9;9;;;2;2;4;;;1;13.79;7;13.77;9;;0.5;5.55
MCOPED;2014;880000047;880780077;1;0;10;0;0;1198;2395;3;3;;;2.1;2.1;0;0;1;1;5;9;5;;;1;1;1;1;;;5.8;1;9.8;5.75;;;1.9
MCOPED;2014;880000054;880007299;1;0;12;;351;705;1402;2;2;;;1.1;1.1;0;0;1;1;1;3;;;;;1;5;15;2;;1.94;15;6.28;4.68;0.1;;4.18
MCOPED;2014;880000062;880780093;1;1;14;3;710;1414;3160;;5;5;;1.61;1.61;0;0;1;1;0;0;0;0;0;0;13;8;0;0;2;5.59;25;2.85;0;0;0.52;11.58
MCOPED;2014;890975527;890000037;1;1;18;2;209;1878;4963;6;6;;;6;6;1;1;1;1;7;6;11;;;13;3;5;0;;;9.57;2;9.93;11;;;14.24
MCOPED;2014;890975550;890970569;1;1;22;2;250;1539;4416;5;5;3;2;5.45;5.35;0;0;1;1;10;8;10;;;3;1;;;;1;6.45;2;4.44;6.25;;0.19;3.13
MCOPED;2014;900000167;900000365;1;1;24;0;430;2040;5308;;5;;5;;8.12;;1;;0;10;4;;;;16;6;2;;;;10.29;3;3.01;;;;15.59
MCOPED;2014;910000272;910110014;1;1;9;2;128;1045;2004;;;6;;1.92;;1;;0;;7;;4;;;1;2;;1;1;1;8;;;4.8;0.5;0.2;1
MCOPED;2014;910000280;910019447;1;1;16;2;196;1437;5674;5;5;3;3;3.85;3.85;;;;;5;2;;;;4;5;4;;;;8.21;3;5.6;;;;5.6
