BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2014;120000039;120780044;N2340;11;12;13.65;;;;
PERINAT_P;2014;120000039;120780044;N2800;15;11;28.75;;;;
PERINAT_P;2014;120000039;120780044;N280H;7;3;7.1;;;;
PERINAT_P;2014;120000054;120780069;M1140;2;0;2;;1;;
PERINAT_P;2014;120000054;120780069;M2050;3;0;2.83;;1;;
PERINAT_P;2014;120000054;120780069;N2800;13;4;14.11;;;;
PERINAT_P;2014;120000054;120780069;N280H;13;4;14.11;;;;
PERINAT_P;2014;120000054;120780069;N3120;0;0;0.24;;;;
PERINAT_P;2014;120000070;120780085;M1140;;2;0.38;;;;
PERINAT_P;2014;120000070;120780085;M2050;;6;2.22;;;;
PERINAT_P;2014;120000070;120780085;MIVG;;1;0.1;;;;
PERINAT_P;2014;120000070;120780085;N2800;6;2;7.6;;;;
PERINAT_P;2014;120000070;120780085;N280H;5;2;6.6;;;;
PERINAT_P;2014;120004569;120004528;M1030;;1;0.2;0;1;0;0
PERINAT_P;2014;120004569;120004528;M1140;1;2;1.6;0;1;;
PERINAT_P;2014;120004569;120004528;M2050;;4;3.81;0;1;;
PERINAT_P;2014;120004569;120004528;MIVG;;1;0.1;;;;
PERINAT_P;2014;120004569;120004528;N2800;8;2;10.6;;;;
PERINAT_P;2014;120004569;120004528;N280H;8;1;4.4;;;;
PERINAT_P;2014;120004569;120004528;N3120;1;;0.1;;;;
PERINAT_P;2014;120004668;120004619;M1030;;2;0.29;0;1;0;0
PERINAT_P;2014;120004668;120004619;M1140;;3;1.06;0;1;;
PERINAT_P;2014;120004668;120004619;M2050;;2;0.99;0;1;;
PERINAT_P;2014;120004668;120004619;N2800;2;7;8.16;;;;
PERINAT_P;2014;120004668;120004619;N280H;1;7;7.16;;;;
PERINAT_P;2014;130000409;130041916;M1030;;19;5.28;1;0;1;0
PERINAT_P;2014;130000409;130041916;M1140;4;12;7.68;1;1;;
PERINAT_P;2014;130000409;130041916;M2050;;9;1.39;1;0;;
PERINAT_P;2014;130000409;130041916;MIVG;;8;0.57;;;;
PERINAT_P;2014;130000409;130041916;N2340;13;21;26.24;;;;
PERINAT_P;2014;130000409;130041916;N2700;1;3;2.43;;;;
PERINAT_P;2014;130000409;130041916;N2800;21;11;30.06;;;;
PERINAT_P;2014;130000409;130041916;N280H;21;11;30.06;;;;
PERINAT_P;2014;130000565;130781446;M1030;1;;0.5;1;0;0;0
PERINAT_P;2014;130000565;130781446;M1140;;;;1;0;;
PERINAT_P;2014;130000565;130781446;M2050;4;3;4.4;0;1;;
PERINAT_P;2014;130000565;130781446;MIVG;1;2;0.4;;;;
PERINAT_P;2014;130000565;130781446;N2700;;2;0.58;;;;
PERINAT_P;2014;130000565;130781446;N2800;7;11;15.49;;;;
PERINAT_P;2014;130000565;130781446;N280H;6;9;12.44;;;;
PERINAT_P;2014;130000565;130781446;N3120;;1;0.2;;;;
PERINAT_P;2014;130001225;130782634;M1030;;;;1;0;0;0
PERINAT_P;2014;130001225;130782634;M1140;2;1;0.73;1;0;;
PERINAT_P;2014;130001225;130782634;M2050;6;4;5.37;1;0;;
PERINAT_P;2014;130001225;130782634;MIVG;2;2;0.76;;;;
PERINAT_P;2014;130001225;130782634;N2700;1;1;0.65;;;;
PERINAT_P;2014;130001225;130782634;N2800;12;13;20.5;;;;
PERINAT_P;2014;130001225;130782634;N280H;11;12;17.5;;;;
PERINAT_P;2014;130002215;130785512;M1030;4;3;6.33;0;0;;
PERINAT_P;2014;130002215;130785512;M1140;0;4;3.5;0;1;;
PERINAT_P;2014;130002215;130785512;M2050;1;4;4.66;0;1;;
PERINAT_P;2014;130002215;130785512;N2700;;1;0.5;;;;
PERINAT_P;2014;130002215;130785512;N2800;11;6;15.25;;;;
PERINAT_P;2014;130002215;130785512;N280H;11;6;15.25;;;;
PERINAT_P;2014;130002827;130789274;M1030;1;;1;1;;1;
PERINAT_P;2014;130002827;130789274;M1140;1;;1;;1;;
PERINAT_P;2014;130002827;130789274;M2050;7;2;6.8;1;;;
PERINAT_P;2014;130002827;130789274;N2340;2;2;2.92;;;;
PERINAT_P;2014;130002827;130789274;N2700;1;;0.8;;;;
PERINAT_P;2014;130002827;130789274;N2800;14;11;18.27;;;;
PERINAT_P;2014;130002827;130789274;N280H;14;11;18.27;;;;
PERINAT_P;2014;130002835;130789316;M1030;1;0;1;1;0;1;0
PERINAT_P;2014;130002835;130789316;M1140;6;2;7.7;1;0;;
PERINAT_P;2014;130002835;130789316;M2050;0;11;7.66;1;0;;
PERINAT_P;2014;130002835;130789316;MIVG;0;4;0.35;;;;
PERINAT_P;2014;130002835;130789316;N2340;0;2;1.57;;;;
PERINAT_P;2014;130002835;130789316;N2700;0;1;0.3;;;;
PERINAT_P;2014;130002835;130789316;N2800;17;22;33.35;;;;
PERINAT_P;2014;130002835;130789316;N280H;10;5;13.84;;;;
PERINAT_P;2014;130008253;130001084;M1030;7;;7;1;0;0;0
PERINAT_P;2014;130008253;130001084;M1140;;8;4;0;1;;
PERINAT_P;2014;130008253;130001084;M2050;5;;5;1;0;;
PERINAT_P;2014;130008253;130001084;N2700;;1;0.5;;;;
PERINAT_P;2014;130008253;130001084;N2800;8;13;16.22;;;;
PERINAT_P;2014;130008253;130001084;N280H;4;7;8.11;;;;
PERINAT_P;2014;130008253;130001084;N3120;;1;0.3;;;;
PERINAT_P;2014;130780521;130786049;M1030;3;0;0.68;;;;
